37;74;37;88
24;99;22;93
36;10;43;69
57;58;25;24
59;11;89;19
45;14;10;75
43;11;43;11
12;50;95;97
98;72;24;50
17;97;51;58
75;96;15;19
35;85;27;22
19;98;47;42
98;66;41;64
17;63;28;87
87;39;12;68
63;52;10;85
79;79;79;79
32;82;15;60
34;82;36;19
65;87;85;63
78;70;98;99
56;24;53;53
56;47;56;90
42;26;84;55
80;22;84;21
14;12;93;27
75;67;42;73
61;35;25;41
17;38;61;13
87;36;45;96
48;13;39;83
65;86;87;46
53;31;35;70
88;14;82;156
17;11;53;84
51;61;80;68
78;67;59;20
72;38;59;41
97;97;97;97
86;12;91;32
83;53;19;30
46;60;54;16
14;15;29;71
85;71;25;39
60;55;51;36
70;33;56;67
48;70;58;13
35;57;39;20
22;83;52;51
70;28;16;41
65;23;65;23
38;11;82;82
23;14;87;27
43;57;25;80
38;42;15;37
76;12;99;42
52;26;24;35
61;14;44;99
33;74;56;80
17;96;35;99
36;11;36;11
82;81;38;26
35;12;50;14
97;89;62;52
39;22;26;43
63;85;35;52
80;77;10;82
49;90;23;31
80;76;27;71
31;34;51;93
28;44;82;19
10;86;20;93
97;56;85;38
57;11;68;50
17;76;40;63
94;54;87;86
43;41;66;70
94;91;60;64
80;29;82;94
80;80;80;80
66;11;55;79
98;68;98;68
41;32;17;19
24;29;67;21
20;17;86;84
56;57;66;86
15;39;17;66
41;86;86;27
72;92;92;58
57;21;72;108
71;32;13;52
58;25;71;52
22;95;22;95
12;25;51;46
38;43;49;79
28;24;37;62
36;76;36;76
58;58;58;58
25;24;43;31
57;57;57;57
41;70;36;17
37;82;34;35
43;88;18;72
93;93;93;93
92;30;92;30
23;99;27;93
49;27;79;43
74;58;28;95
10;12;63;69
70;70;70;70
76;43;13;40
16;77;15;10
38;64;41;50
26;18;75;35
30;30;30;30
73;71;33;49
17;38;56;35
15;24;49;89
96;52;27;37
46;71;23;28
45;84;45;84
64;93;82;24
44;54;66;31
99;17;62;41
12;69;85;93
71;94;22;85
12;58;14;84
77;93;72;76
22;41;34;19
52;85;95;78
39;18;81;84
59;54;51;94
70;80;97;44
86;49;81;71
16;45;85;87
70;44;76;97
85;98;44;49
29;31;29;31
32;51;77;46
41;43;90;88
12;13;33;95
93;33;93;62
25;78;54;57
71;46;58;93
19;29;60;71
64;67;48;13
37;54;44;86
81;75;48;19
70;83;67;39
54;97;29;95
84;96;57;11
53;61;46;74
84;90;72;64
44;67;23;72
98;48;46;24
62;30;87;15
48;56;91;95
57;87;85;61
23;11;45;30
93;94;75;74
39;15;29;26
75;75;75;75
33;74;41;17
22;22;22;22
56;81;62;44
96;13;26;37
68;55;73;95
75;98;75;98
20;40;20;40
48;70;37;43
94;26;63;99
58;52;84;42
42;43;15;42
77;11;45;80
15;15;15;15
12;70;32;39
36;76;82;78
51;92;74;42
89;53;42;98
64;49;78;78
47;34;56;88
70;47;57;83
87;30;54;97
66;60;36;42
85;36;13;11
