101,22
50,29
60,58
142,66
82,26
6,90
118,90
138,50
89,29
152,00
31,37
16,88
121,01
123,92
76,13
33,41
127,46
116,38
129,30
8,26
99,29
68,41
60,48
5,41
138,98
60,22
20,25
125,10
12,80
100,21
89,35
39,73
14,37
60,70
153,83
80,37
35,59
17,51
68,75
69,24
40,04
116,51
24,16
122,86
20,58
27,61
62,75
150,18
118,22
143,58
77,07
5,42
82,23
154,14
36,62
116,42
118,95
13,69
152,58
22,94
44,61
147,75
19,15
125,29
113,11
106,93
36,24
108,98
58,97
96,68
85,38
134,21
45,56
76,87
19,09
93,26
149,29
99,03
127,72
25,79
60,53
113,59
30,25
109,89
133,29
44,97
45,25
38,73
31,12
130,04
152,18
51,18
96,57
56,68
134,86
65,40
147,79
80,14
103,13
127,36
42,61
89,97
100,94
69,12
93,57
87,26
68,73
69,10
104,41
116,73
114,24
77,30
20,39
10,21
28,84
121,10
43,26
64,27
134,02
134,50
146,44
133,49
54,44
64,44
141,34
79,27
123,87
120,13
66,98
146,42
18,79
81,41
40,42
102,06
59,23
55,39
151,08
85,34
23,17
96,92
112,45
91,07
81,84
39,88
57,09
102,02
105,82
60,71
139,68
52,78
150,44
66,39
121,88
63,76
109,75
30,23
90,97
140,32
137,25
149,18
106,92
91,02
70,42
40,36
136,94
100,39
84,48
20,57
72,53
136,62
75,73
118,53
124,85
145,72
47,66
68,92
146,89
64,82
133,02
124,70
28,32
47,56
101,43
116,34
58,79
54,98
110,86
47,07
98,05
18,55
132,83
57,22
54,49
101,23
17,01
50,03
40,40
35,95
115,00
32,73
94,21
120,68
52,82
77,36
48,65
66,82
79,45
38,38
58,61
20,11
117,94
90,57
89,15
43,16
10,54
11,26
85,90
8,37
68,14
94,44
63,29
86,60
111,11
147,77
126,69
6,61
109,72
136,16
40,90
35,58
9,13
51,48
87,38
134,47
113,42
135,79
71,93
114,39
55,13
152,41
133,68
6,72
70,23
7,63
112,86
105,53
131,15
29,01
128,31
148,31
21,19
44,62
12,72
68,90
26,67
32,24
17,64
65,47
107,99
62,66
92,44
7,57
110,00
34,68
97,10
42,25
135,10
128,66
48,60
75,68
92,21
23,98
44,10
142,07
106,11
41,44
109,68
69,29
14,27
115,02
45,30
21,28
132,78
93,76
85,51
11,74
50,56
43,04
151,23
67,23
103,12
27,02
146,26
98,13
125,68
67,03
14,68
18,70
24,41
64,34
11,48
43,12
100,94
80,84
83,09
130,74
136,62
66,35
18,27
79,09
52,79
78,43
60,09
60,53
11,60
73,57
112,68
7,48
16,19
75,95
51,87
153,38
54,76
111,44
148,36
87,15
150,39
114,83
64,28
133,20
152,03
79,45
145,03
16,37
84,48
127,47
89,98
51,56
17,09
52,08
86,27
89,83
47,49
134,07
55,15
111,66
90,40
22,86
84,83
17,35
62,00
133,37
25,71
64,43
101,77
74,49
79,30
147,24
21,32
55,71
18,63
75,02
148,75
96,29
139,53
117,74
21,45
104,25
51,08
131,79
21,06
58,08
11,01
34,41
13,33
18,50
79,36
23,77
7,93
57,42
84,67
152,22
29,38
58,36
65,91
109,74
61,47
83,58
105,21
81,24
6,17
144,82
127,01
113,55
73,22
79,29
135,94
30,51
147,55
139,53
55,61
122,13
78,71
30,51
16,72
104,74
65,41
92,03
121,05
26,11
100,17
46,01
53,72
154,49
10,56
52,54
80,10
81,90
113,26
13,47
11,23
12,69
138,99
33,69
77,76
83,18
131,32
141,50
149,83
141,50
148,86
76,19
37,62
146,41
83,26
24,28
11,72
51,59
126,26
19,43
32,34
92,13
11,92
110,37
39,32
36,26
92,17
31,65
90,65
45,46
122,99
50,49
17,40
66,50
82,58
20,16
75,62
154,70
136,51
76,93
127,03
69,09
124,04
23,50
151,55
37,16
5,74
141,77
8,98
123,33
44,75
8,85
112,66
142,08
111,26
11,53
44,91
67,22
40,88
70,24
69,66
50,99
85,65
29,40
111,44
140,47
120,41
125,45
34,22
68,47
11,77
88,36
62,96
7,71
46,84
61,86
90,92
74,22
74,98
59,99
